word,vietnamese_pronunciation
report,ri-pót
update,ắp-đết
news,niu
media,mi-đi-a
press,prét
official,ờ-fi-sồ
issue,ít-siu
crisis,khrai-sịt
statement,stây-mần
international,in-tơ-na-sờ-nồ
economy,i-có-nờ-mi
market,ma-kịt
company,khăm-pơ-ni
profit,pró-fit
revenue,ré-vờ-nhiu
investment,in-vét-mần
CEO,xi-i-ô
CFO,xi-ép-phô
startup,stát-ắp
growth,grốp
inflation,in-flây-shần
brand,brén
boss,bót
technology,téc-nô-lơ-gi
internet,in-tơ-nét
email,i-mêu
download,đao-lốt
upload,ắp-lốt
software,sọp-que
app,áp
platform,plát-phoorm
privacy,prai-vờ-xi
online,on-lai
social media,xô-shồ mi-đi-a
content,con-tên
content creator,con-tên kri-ây-tờ
filter,phin-tờ
tag,thác
story,sto-ri
livestream,lai-vơ-strim
live,lai-vơ
match,mét
game,gêm
score,sco
player,plây-ờ
team,tim
championship,cham-pi-ần-shíp
coach,kốch
highlight,hai-lai
season,xi-dần
show,sô
showbiz,sô-bít
film,phim
trend,trén
hot,hót
viral,vai-rồ
drama,đờ-ra-ma
scandal,x-can-đồ
idol,ai-đồ
fan,phan
anti-fan,an-ti phan
cool,cuu
cute,kiu
flex,ph-lét
toxic,tóc-xịt
crush,crót
ship,síp
flop,phờ-lốp
out trend,ao trén
lowkey,lâu-ki
highkey,hai-ki
overrated,âu-vờ-rết-địt
like,lai
share,se
follow,phô-lô
unfollow,ân-phô-lô
inbox,in-bốc
profile,prô-phai
feedback,phít-béc
PR,pi-a
influencer,in-flu-en-sờ
KOL,kê-ô-en
Canada,ca-na-đờ
United States,iu-nai-tịt stết
USA,iu-ét-xê
China,chai-nờ
Russia,rớ-sờ
Ukraine,iu-khờ-rên
United Kingdom,iu-nai-tịt kinh-đầm
UK,iu-kê
France,phrăng-xờ
Germany,dờ-mơ-ni
Japan,dờ-đa-pan
South Korea,sao khờ-ri-a
North Korea,nót khờ-ri-a
India,in-đi-a
Israel,ít-ra-ren
Iran,i-ran
Australia,ốt-xtrây-li-a
